numSeedling,position.x,numMature,position.y,sumEnergy,sumHeight,numSapling,step,replicate
1,85,0,15,100.0,0.5,0,19,0
1,95,0,45,100.0,0.5,0,19,0
1,25,0,25,100.0,0.5,0,19,0
1,85,0,65,100.0,0.5,0,19,0
1,25,0,5,100.0,0.5,0,19,0
1,55,0,25,100.0,0.5,0,19,0
1,65,0,65,100.0,0.5,0,19,0
1,55,0,35,100.0,0.5,0,19,0
1,75,0,55,100.0,0.5,0,19,0
1,55,0,55,100.0,0.5,0,19,0
1,25,0,45,100.0,0.5,0,19,0
1,75,0,15,100.0,0.5,0,19,0
1,95,0,85,100.0,0.5,0,19,0
1,35,0,15,100.0,0.5,0,19,0
1,5,0,25,100.0,0.5,0,19,0
1,85,0,5,100.0,0.5,0,19,0
1,75,0,85,100.0,0.5,0,19,0
1,15,0,75,100.0,0.5,0,19,0
1,5,0,35,100.0,0.5,0,19,0
1,35,0,45,100.0,0.5,0,19,0
1,45,0,95,100.0,0.5,0,19,0
1,45,0,55,100.0,0.5,0,19,0
1,5,0,65,100.0,0.5,0,19,0
1,95,0,65,100.0,0.5,0,19,0
1,85,0,25,100.0,0.5,0,19,0
1,15,0,35,100.0,0.5,0,19,0
1,55,0,5,100.0,0.5,0,19,0
1,15,0,15,100.0,0.5,0,19,0
1,95,0,95,100.0,0.5,0,19,0
1,15,0,5,100.0,0.5,0,19,0
1,95,0,5,100.0,0.5,0,19,0
1,25,0,15,100.0,0.5,0,19,0
1,55,0,75,100.0,0.5,0,19,0
1,75,0,35,100.0,0.5,0,19,0
1,95,0,25,100.0,0.5,0,19,0
1,65,0,25,100.0,0.5,0,19,0
1,25,0,65,100.0,0.5,0,19,0
1,45,0,25,100.0,0.5,0,19,0
1,25,0,95,100.0,0.5,0,19,0
1,55,0,95,100.0,0.5,0,19,0
1,5,0,55,100.0,0.5,0,19,0
1,35,0,65,100.0,0.5,0,19,0
1,15,0,45,100.0,0.5,0,19,0
1,45,0,15,100.0,0.5,0,19,0
1,65,0,85,100.0,0.5,0,19,0
1,65,0,45,100.0,0.5,0,19,0
1,5,0,85,100.0,0.5,0,19,0
1,85,0,35,100.0,0.5,0,19,0
1,45,0,75,100.0,0.5,0,19,0
1,85,0,75,100.0,0.5,0,19,0
1,75,0,75,100.0,0.5,0,19,0
1,5,0,15,100.0,0.5,0,19,0
1,95,0,15,100.0,0.5,0,19,0
1,15,0,55,100.0,0.5,0,19,0
1,15,0,25,100.0,0.5,0,19,0
1,25,0,85,100.0,0.5,0,19,0
1,55,0,65,100.0,0.5,0,19,0
1,25,0,55,100.0,0.5,0,19,0
1,5,0,95,100.0,0.5,0,19,0
1,35,0,55,100.0,0.5,0,19,0
1,95,0,75,100.0,0.5,0,19,0
1,75,0,5,100.0,0.5,0,19,0
1,45,0,5,100.0,0.5,0,19,0
1,35,0,5,100.0,0.5,0,19,0
1,75,0,95,100.0,0.5,0,19,0
1,5,0,75,100.0,0.5,0,19,0
1,35,0,35,100.0,0.5,0,19,0
1,15,0,85,100.0,0.5,0,19,0
1,45,0,85,100.0,0.5,0,19,0
1,55,0,85,100.0,0.5,0,19,0
1,85,0,45,100.0,0.5,0,19,0
1,65,0,55,100.0,0.5,0,19,0
1,45,0,65,100.0,0.5,0,19,0
1,65,0,35,100.0,0.5,0,19,0
1,25,0,75,100.0,0.5,0,19,0
1,75,0,25,100.0,0.5,0,19,0
1,35,0,75,100.0,0.5,0,19,0
1,45,0,35,100.0,0.5,0,19,0
1,35,0,25,100.0,0.5,0,19,0
1,75,0,45,100.0,0.5,0,19,0
1,95,0,35,100.0,0.5,0,19,0
1,65,0,15,100.0,0.5,0,19,0
1,5,0,45,100.0,0.5,0,19,0
1,65,0,5,100.0,0.5,0,19,0
1,65,0,75,100.0,0.5,0,19,0
1,35,0,85,100.0,0.5,0,19,0
1,15,0,65,100.0,0.5,0,19,0
1,55,0,15,100.0,0.5,0,19,0
1,5,0,5,100.0,0.5,0,19,0
1,85,0,85,100.0,0.5,0,19,0
1,65,0,95,100.0,0.5,0,19,0
1,95,0,55,100.0,0.5,0,19,0
1,45,0,45,100.0,0.5,0,19,0
1,15,0,95,100.0,0.5,0,19,0
1,35,0,95,100.0,0.5,0,19,0
1,85,0,55,100.0,0.5,0,19,0
1,55,0,45,100.0,0.5,0,19,0
1,25,0,35,100.0,0.5,0,19,0
1,85,0,95,100.0,0.5,0,19,0
1,75,0,65,100.0,0.5,0,19,0
1,35,0,45,100.0,0.5,0,20,0
1,25,0,5,100.0,0.5,0,20,0
1,25,0,55,100.0,0.5,0,20,0
1,15,0,35,100.0,0.5,0,20,0
1,25,0,25,100.0,0.5,0,20,0
1,95,0,5,100.0,0.5,0,20,0
1,35,0,5,100.0,0.5,0,20,0
1,25,0,95,100.0,0.5,0,20,0
1,85,0,65,100.0,0.5,0,20,0
1,5,0,85,100.0,0.5,0,20,0
1,75,0,55,100.0,0.5,0,20,0
1,45,0,85,100.0,0.5,0,20,0
1,15,0,55,100.0,0.5,0,20,0
1,85,0,25,100.0,0.5,0,20,0
1,85,0,5,100.0,0.5,0,20,0
1,5,0,65,100.0,0.5,0,20,0
1,75,0,25,100.0,0.5,0,20,0
1,15,0,15,100.0,0.5,0,20,0
1,55,0,55,100.0,0.5,0,20,0
1,25,0,15,100.0,0.5,0,20,0
1,15,0,95,100.0,0.5,0,20,0
1,95,0,35,100.0,0.5,0,20,0
1,95,0,25,100.0,0.5,0,20,0
1,75,0,85,100.0,0.5,0,20,0
1,45,0,25,100.0,0.5,0,20,0
1,55,0,45,100.0,0.5,0,20,0
1,55,0,95,100.0,0.5,0,20,0
1,45,0,35,100.0,0.5,0,20,0
1,55,0,15,100.0,0.5,0,20,0
1,65,0,45,100.0,0.5,0,20,0
1,65,0,5,100.0,0.5,0,20,0
1,15,0,45,100.0,0.5,0,20,0
1,85,0,95,100.0,0.5,0,20,0
1,85,0,75,100.0,0.5,0,20,0
1,85,0,55,100.0,0.5,0,20,0
1,35,0,85,100.0,0.5,0,20,0
1,95,0,95,100.0,0.5,0,20,0
1,75,0,75,100.0,0.5,0,20,0
1,55,0,25,100.0,0.5,0,20,0
1,55,0,75,100.0,0.5,0,20,0
1,55,0,5,100.0,0.5,0,20,0
1,25,0,75,100.0,0.5,0,20,0
1,65,0,25,100.0,0.5,0,20,0
1,15,0,5,100.0,0.5,0,20,0
1,25,0,45,100.0,0.5,0,20,0
1,55,0,65,100.0,0.5,0,20,0
1,35,0,25,100.0,0.5,0,20,0
1,35,0,65,100.0,0.5,0,20,0
1,75,0,35,100.0,0.5,0,20,0
1,45,0,15,100.0,0.5,0,20,0
1,95,0,85,100.0,0.5,0,20,0
1,25,0,65,100.0,0.5,0,20,0
1,5,0,45,100.0,0.5,0,20,0
1,85,0,35,100.0,0.5,0,20,0
1,5,0,55,100.0,0.5,0,20,0
1,5,0,15,100.0,0.5,0,20,0
1,15,0,75,100.0,0.5,0,20,0
1,65,0,85,100.0,0.5,0,20,0
1,65,0,75,100.0,0.5,0,20,0
1,75,0,95,100.0,0.5,0,20,0
1,45,0,75,100.0,0.5,0,20,0
1,95,0,15,100.0,0.5,0,20,0
1,45,0,55,100.0,0.5,0,20,0
1,85,0,45,100.0,0.5,0,20,0
1,85,0,85,100.0,0.5,0,20,0
1,25,0,85,100.0,0.5,0,20,0
1,95,0,65,100.0,0.5,0,20,0
1,5,0,95,100.0,0.5,0,20,0
1,95,0,55,100.0,0.5,0,20,0
1,95,0,75,100.0,0.5,0,20,0
1,75,0,5,100.0,0.5,0,20,0
1,35,0,35,100.0,0.5,0,20,0
1,65,0,55,100.0,0.5,0,20,0
1,15,0,85,100.0,0.5,0,20,0
1,85,0,15,100.0,0.5,0,20,0
1,35,0,75,100.0,0.5,0,20,0
1,95,0,45,100.0,0.5,0,20,0
1,45,0,65,100.0,0.5,0,20,0
1,55,0,35,100.0,0.5,0,20,0
1,65,0,65,100.0,0.5,0,20,0
1,65,0,15,100.0,0.5,0,20,0
1,75,0,45,100.0,0.5,0,20,0
1,75,0,15,100.0,0.5,0,20,0
1,5,0,25,100.0,0.5,0,20,0
1,15,0,65,100.0,0.5,0,20,0
1,15,0,25,100.0,0.5,0,20,0
1,5,0,5,100.0,0.5,0,20,0
1,75,0,65,100.0,0.5,0,20,0
1,35,0,15,100.0,0.5,0,20,0
1,45,0,45,100.0,0.5,0,20,0
1,35,0,95,100.0,0.5,0,20,0
1,5,0,35,100.0,0.5,0,20,0
1,35,0,55,100.0,0.5,0,20,0
1,65,0,95,100.0,0.5,0,20,0
1,25,0,35,100.0,0.5,0,20,0
1,45,0,95,100.0,0.5,0,20,0
1,45,0,5,100.0,0.5,0,20,0
1,5,0,75,100.0,0.5,0,20,0
1,55,0,85,100.0,0.5,0,20,0
1,65,0,35,100.0,0.5,0,20,0
1,85,0,65,100.0,0.5,0,21,0
1,95,0,45,100.0,0.5,0,21,0
1,85,0,15,100.0,0.5,0,21,0
1,25,0,5,100.0,0.5,0,21,0
1,65,0,65,100.0,0.5,0,21,0
1,55,0,55,100.0,0.5,0,21,0
1,85,0,25,100.0,0.5,0,21,0
1,55,0,35,100.0,0.5,0,21,0
1,75,0,15,100.0,0.5,0,21,0
1,75,0,85,100.0,0.5,0,21,0
1,35,0,45,100.0,0.5,0,21,0
1,25,0,25,100.0,0.5,0,21,0
1,35,0,15,100.0,0.5,0,21,0
1,45,0,35,100.0,0.5,0,21,0
1,25,0,15,100.0,0.5,0,21,0
1,5,0,25,100.0,0.5,0,21,0
1,75,0,55,100.0,0.5,0,21,0
1,65,0,5,100.0,0.5,0,21,0
1,5,0,35,100.0,0.5,0,21,0
1,15,0,35,100.0,0.5,0,21,0
1,85,0,5,100.0,0.5,0,21,0
1,35,0,85,100.0,0.5,0,21,0
1,45,0,25,100.0,0.5,0,21,0
1,45,0,95,100.0,0.5,0,21,0
1,45,0,45,100.0,0.5,0,21,0
1,15,0,95,100.0,0.5,0,21,0
1,55,0,5,100.0,0.5,0,21,0
1,95,0,95,100.0,0.5,0,21,0
1,15,0,45,100.0,0.5,0,21,0
1,15,0,5,100.0,0.5,0,21,0
1,55,0,45,100.0,0.5,0,21,0
1,35,0,95,100.0,0.5,0,21,0
1,55,0,75,100.0,0.5,0,21,0
1,75,0,35,100.0,0.5,0,21,0
1,85,0,95,100.0,0.5,0,21,0
1,65,0,25,100.0,0.5,0,21,0
1,25,0,65,100.0,0.5,0,21,0
1,75,0,75,100.0,0.5,0,21,0
1,25,0,35,100.0,0.5,0,21,0
1,35,0,65,100.0,0.5,0,21,0
1,55,0,25,100.0,0.5,0,21,0
1,45,0,15,100.0,0.5,0,21,0
1,25,0,45,100.0,0.5,0,21,0
1,55,0,65,100.0,0.5,0,21,0
1,85,0,35,100.0,0.5,0,21,0
1,95,0,85,100.0,0.5,0,21,0
1,95,0,75,100.0,0.5,0,21,0
1,15,0,75,100.0,0.5,0,21,0
1,75,0,95,100.0,0.5,0,21,0
1,5,0,15,100.0,0.5,0,21,0
1,5,0,55,100.0,0.5,0,21,0
1,15,0,85,100.0,0.5,0,21,0
1,45,0,55,100.0,0.5,0,21,0
1,95,0,5,100.0,0.5,0,21,0
1,65,0,85,100.0,0.5,0,21,0
1,85,0,45,100.0,0.5,0,21,0
1,95,0,65,100.0,0.5,0,21,0
1,45,0,75,100.0,0.5,0,21,0
1,45,0,65,100.0,0.5,0,21,0
1,25,0,55,100.0,0.5,0,21,0
1,25,0,95,100.0,0.5,0,21,0
1,35,0,75,100.0,0.5,0,21,0
1,25,0,75,100.0,0.5,0,21,0
1,35,0,5,100.0,0.5,0,21,0
1,75,0,45,100.0,0.5,0,21,0
1,35,0,25,100.0,0.5,0,21,0
1,65,0,15,100.0,0.5,0,21,0
1,45,0,85,100.0,0.5,0,21,0
1,5,0,85,100.0,0.5,0,21,0
1,5,0,5,100.0,0.5,0,21,0
1,5,0,45,100.0,0.5,0,21,0
1,75,0,25,100.0,0.5,0,21,0
1,15,0,65,100.0,0.5,0,21,0
1,15,0,55,100.0,0.5,0,21,0
1,75,0,65,100.0,0.5,0,21,0
1,65,0,75,100.0,0.5,0,21,0
1,95,0,35,100.0,0.5,0,21,0
1,65,0,95,100.0,0.5,0,21,0
1,85,0,85,100.0,0.5,0,21,0
1,55,0,15,100.0,0.5,0,21,0
1,95,0,15,100.0,0.5,0,21,0
1,95,0,55,100.0,0.5,0,21,0
1,15,0,25,100.0,0.5,0,21,0
1,85,0,55,100.0,0.5,0,21,0
1,25,0,85,100.0,0.5,0,21,0
1,35,0,55,100.0,0.5,0,21,0
1,5,0,95,100.0,0.5,0,21,0
1,45,0,5,100.0,0.5,0,21,0
1,5,0,65,100.0,0.5,0,21,0
1,75,0,5,100.0,0.5,0,21,0
1,15,0,15,100.0,0.5,0,21,0
1,5,0,75,100.0,0.5,0,21,0
1,95,0,25,100.0,0.5,0,21,0
1,35,0,35,100.0,0.5,0,21,0
1,55,0,85,100.0,0.5,0,21,0
1,55,0,95,100.0,0.5,0,21,0
1,65,0,55,100.0,0.5,0,21,0
1,65,0,35,100.0,0.5,0,21,0
1,65,0,45,100.0,0.5,0,21,0
1,85,0,75,100.0,0.5,0,21,0
1,55,0,25,100.0,0.5,0,22,0
1,25,0,5,100.0,0.5,0,22,0
1,95,0,45,100.0,0.5,0,22,0
1,85,0,65,100.0,0.5,0,22,0
1,25,0,45,100.0,0.5,0,22,0
1,65,0,65,100.0,0.5,0,22,0
1,55,0,55,100.0,0.5,0,22,0
1,95,0,85,100.0,0.5,0,22,0
1,75,0,15,100.0,0.5,0,22,0
1,85,0,25,100.0,0.5,0,22,0
1,15,0,75,100.0,0.5,0,22,0
1,35,0,15,100.0,0.5,0,22,0
1,45,0,55,100.0,0.5,0,22,0
1,75,0,85,100.0,0.5,0,22,0
1,25,0,15,100.0,0.5,0,22,0
1,5,0,35,100.0,0.5,0,22,0
1,25,0,25,100.0,0.5,0,22,0
1,45,0,95,100.0,0.5,0,22,0
1,35,0,45,100.0,0.5,0,22,0
1,45,0,25,100.0,0.5,0,22,0
1,45,0,35,100.0,0.5,0,22,0
1,75,0,55,100.0,0.5,0,22,0
1,85,0,5,100.0,0.5,0,22,0
1,55,0,5,100.0,0.5,0,22,0
1,15,0,45,100.0,0.5,0,22,0
1,15,0,35,100.0,0.5,0,22,0
1,65,0,5,100.0,0.5,0,22,0
1,15,0,95,100.0,0.5,0,22,0
1,15,0,5,100.0,0.5,0,22,0
1,55,0,45,100.0,0.5,0,22,0
1,95,0,5,100.0,0.5,0,22,0
1,85,0,15,100.0,0.5,0,22,0
1,85,0,95,100.0,0.5,0,22,0
1,35,0,85,100.0,0.5,0,22,0
1,75,0,35,100.0,0.5,0,22,0
1,5,0,65,100.0,0.5,0,22,0
1,25,0,95,100.0,0.5,0,22,0
1,25,0,65,100.0,0.5,0,22,0
1,55,0,35,100.0,0.5,0,22,0
1,95,0,95,100.0,0.5,0,22,0
1,15,0,15,100.0,0.5,0,22,0
1,5,0,55,100.0,0.5,0,22,0
1,95,0,25,100.0,0.5,0,22,0
1,5,0,85,100.0,0.5,0,22,0
1,5,0,25,100.0,0.5,0,22,0
1,65,0,85,100.0,0.5,0,22,0
1,55,0,75,100.0,0.5,0,22,0
1,55,0,95,100.0,0.5,0,22,0
1,95,0,65,100.0,0.5,0,22,0
1,65,0,45,100.0,0.5,0,22,0
1,45,0,75,100.0,0.5,0,22,0
1,45,0,45,100.0,0.5,0,22,0
1,15,0,55,100.0,0.5,0,22,0
1,65,0,25,100.0,0.5,0,22,0
1,25,0,55,100.0,0.5,0,22,0
1,85,0,75,100.0,0.5,0,22,0
1,25,0,75,100.0,0.5,0,22,0
1,35,0,95,100.0,0.5,0,22,0
1,35,0,5,100.0,0.5,0,22,0
1,15,0,25,100.0,0.5,0,22,0
1,35,0,25,100.0,0.5,0,22,0
1,35,0,65,100.0,0.5,0,22,0
1,95,0,15,100.0,0.5,0,22,0
1,35,0,55,100.0,0.5,0,22,0
1,5,0,45,100.0,0.5,0,22,0
1,45,0,85,100.0,0.5,0,22,0
1,25,0,35,100.0,0.5,0,22,0
1,45,0,5,100.0,0.5,0,22,0
1,45,0,15,100.0,0.5,0,22,0
1,25,0,85,100.0,0.5,0,22,0
1,75,0,25,100.0,0.5,0,22,0
1,65,0,75,100.0,0.5,0,22,0
1,5,0,75,100.0,0.5,0,22,0
1,85,0,85,100.0,0.5,0,22,0
1,95,0,35,100.0,0.5,0,22,0
1,85,0,35,100.0,0.5,0,22,0
1,95,0,75,100.0,0.5,0,22,0
1,5,0,95,100.0,0.5,0,22,0
1,55,0,85,100.0,0.5,0,22,0
1,95,0,55,100.0,0.5,0,22,0
1,65,0,35,100.0,0.5,0,22,0
1,55,0,15,100.0,0.5,0,22,0
1,5,0,15,100.0,0.5,0,22,0
1,55,0,65,100.0,0.5,0,22,0
1,15,0,85,100.0,0.5,0,22,0
1,75,0,5,100.0,0.5,0,22,0
1,85,0,55,100.0,0.5,0,22,0
1,75,0,95,100.0,0.5,0,22,0
1,85,0,45,100.0,0.5,0,22,0
1,45,0,65,100.0,0.5,0,22,0
1,35,0,35,100.0,0.5,0,22,0
1,35,0,75,100.0,0.5,0,22,0
1,65,0,55,100.0,0.5,0,22,0
1,75,0,45,100.0,0.5,0,22,0
1,65,0,15,100.0,0.5,0,22,0
1,15,0,65,100.0,0.5,0,22,0
1,5,0,5,100.0,0.5,0,22,0
1,75,0,75,100.0,0.5,0,22,0
1,65,0,95,100.0,0.5,0,22,0
1,75,0,65,100.0,0.5,0,22,0
1,85,0,65,100.0,0.5,0,23,0
1,25,0,25,100.0,0.5,0,23,0
1,95,0,45,100.0,0.5,0,23,0
1,25,0,5,100.0,0.5,0,23,0
1,25,0,55,100.0,0.5,0,23,0
1,55,0,55,100.0,0.5,0,23,0
1,65,0,65,100.0,0.5,0,23,0
1,85,0,25,100.0,0.5,0,23,0
1,75,0,55,100.0,0.5,0,23,0
1,35,0,5,100.0,0.5,0,23,0
1,25,0,15,100.0,0.5,0,23,0
1,75,0,15,100.0,0.5,0,23,0
1,75,0,85,100.0,0.5,0,23,0
1,55,0,5,100.0,0.5,0,23,0
1,85,0,5,100.0,0.5,0,23,0
1,45,0,85,100.0,0.5,0,23,0
1,45,0,25,100.0,0.5,0,23,0
1,35,0,15,100.0,0.5,0,23,0
1,45,0,35,100.0,0.5,0,23,0
1,15,0,5,100.0,0.5,0,23,0
1,15,0,45,100.0,0.5,0,23,0
1,65,0,5,100.0,0.5,0,23,0
1,5,0,35,100.0,0.5,0,23,0
1,75,0,25,100.0,0.5,0,23,0
1,75,0,35,100.0,0.5,0,23,0
1,15,0,95,100.0,0.5,0,23,0
1,35,0,85,100.0,0.5,0,23,0
1,75,0,75,100.0,0.5,0,23,0
1,45,0,95,100.0,0.5,0,23,0
1,25,0,65,100.0,0.5,0,23,0
1,95,0,35,100.0,0.5,0,23,0
1,55,0,45,100.0,0.5,0,23,0
1,95,0,95,100.0,0.5,0,23,0
1,5,0,55,100.0,0.5,0,23,0
1,55,0,65,100.0,0.5,0,23,0
1,35,0,45,100.0,0.5,0,23,0
1,55,0,15,100.0,0.5,0,23,0
1,85,0,95,100.0,0.5,0,23,0
1,65,0,85,100.0,0.5,0,23,0
1,75,0,95,100.0,0.5,0,23,0
1,55,0,75,100.0,0.5,0,23,0
1,15,0,35,100.0,0.5,0,23,0
1,85,0,45,100.0,0.5,0,23,0
1,95,0,5,100.0,0.5,0,23,0
1,65,0,25,100.0,0.5,0,23,0
1,45,0,75,100.0,0.5,0,23,0
1,85,0,55,100.0,0.5,0,23,0
1,55,0,25,100.0,0.5,0,23,0
1,35,0,65,100.0,0.5,0,23,0
1,5,0,65,100.0,0.5,0,23,0
1,25,0,95,100.0,0.5,0,23,0
1,35,0,75,100.0,0.5,0,23,0
1,25,0,45,100.0,0.5,0,23,0
1,25,0,75,100.0,0.5,0,23,0
1,45,0,15,100.0,0.5,0,23,0
1,15,0,15,100.0,0.5,0,23,0
1,5,0,85,100.0,0.5,0,23,0
1,65,0,15,100.0,0.5,0,23,0
1,95,0,85,100.0,0.5,0,23,0
1,35,0,25,100.0,0.5,0,23,0
1,85,0,35,100.0,0.5,0,23,0
1,95,0,25,100.0,0.5,0,23,0
1,15,0,55,100.0,0.5,0,23,0
1,15,0,65,100.0,0.5,0,23,0
1,55,0,95,100.0,0.5,0,23,0
1,65,0,95,100.0,0.5,0,23,0
1,15,0,75,100.0,0.5,0,23,0
1,95,0,15,100.0,0.5,0,23,0
1,5,0,45,100.0,0.5,0,23,0
1,65,0,45,100.0,0.5,0,23,0
1,95,0,75,100.0,0.5,0,23,0
1,25,0,85,100.0,0.5,0,23,0
1,45,0,55,100.0,0.5,0,23,0
1,85,0,75,100.0,0.5,0,23,0
1,15,0,85,100.0,0.5,0,23,0
1,65,0,75,100.0,0.5,0,23,0
1,5,0,95,100.0,0.5,0,23,0
1,45,0,65,100.0,0.5,0,23,0
1,15,0,25,100.0,0.5,0,23,0
1,95,0,65,100.0,0.5,0,23,0
1,85,0,85,100.0,0.5,0,23,0
1,75,0,5,100.0,0.5,0,23,0
1,35,0,55,100.0,0.5,0,23,0
1,75,0,45,100.0,0.5,0,23,0
1,5,0,5,100.0,0.5,0,23,0
1,45,0,5,100.0,0.5,0,23,0
1,35,0,35,100.0,0.5,0,23,0
1,95,0,55,100.0,0.5,0,23,0
1,75,0,65,100.0,0.5,0,23,0
1,5,0,75,100.0,0.5,0,23,0
1,85,0,15,100.0,0.5,0,23,0
1,65,0,55,100.0,0.5,0,23,0
1,55,0,85,100.0,0.5,0,23,0
1,55,0,35,100.0,0.5,0,23,0
1,5,0,15,100.0,0.5,0,23,0
1,65,0,35,100.0,0.5,0,23,0
1,5,0,25,100.0,0.5,0,23,0
1,45,0,45,100.0,0.5,0,23,0
1,35,0,95,100.0,0.5,0,23,0
1,25,0,35,100.0,0.5,0,23,0
1,85,0,15,100.0,0.5,0,24,0
1,95,0,15,100.0,0.5,0,24,0
1,55,0,65,100.0,0.5,0,24,0
1,85,0,65,100.0,0.5,0,24,0
1,25,0,55,100.0,0.5,0,24,0
1,25,0,85,100.0,0.5,0,24,0
1,75,0,95,100.0,0.5,0,24,0
1,35,0,5,100.0,0.5,0,24,0
1,55,0,35,100.0,0.5,0,24,0
1,5,0,95,100.0,0.5,0,24,0
1,85,0,45,100.0,0.5,0,24,0
1,85,0,25,100.0,0.5,0,24,0
1,75,0,5,100.0,0.5,0,24,0
1,35,0,75,100.0,0.5,0,24,0
1,45,0,85,100.0,0.5,0,24,0
1,5,0,25,100.0,0.5,0,24,0
1,65,0,15,100.0,0.5,0,24,0
1,35,0,35,100.0,0.5,0,24,0
1,25,0,15,100.0,0.5,0,24,0
1,95,0,45,100.0,0.5,0,24,0
1,15,0,65,100.0,0.5,0,24,0
1,75,0,25,100.0,0.5,0,24,0
1,65,0,55,100.0,0.5,0,24,0
1,45,0,45,100.0,0.5,0,24,0
1,65,0,65,100.0,0.5,0,24,0
1,65,0,95,100.0,0.5,0,24,0
1,45,0,25,100.0,0.5,0,24,0
1,15,0,25,100.0,0.5,0,24,0
1,95,0,35,100.0,0.5,0,24,0
1,75,0,15,100.0,0.5,0,24,0
1,35,0,95,100.0,0.5,0,24,0
1,35,0,55,100.0,0.5,0,24,0
1,35,0,45,100.0,0.5,0,24,0
1,35,0,15,100.0,0.5,0,24,0
1,15,0,45,100.0,0.5,0,24,0
1,55,0,15,100.0,0.5,0,24,0
1,15,0,35,100.0,0.5,0,24,0
1,45,0,5,100.0,0.5,0,24,0
1,5,0,35,100.0,0.5,0,24,0
1,25,0,35,100.0,0.5,0,24,0
1,75,0,75,100.0,0.5,0,24,0
1,5,0,75,100.0,0.5,0,24,0
1,95,0,5,100.0,0.5,0,24,0
1,45,0,95,100.0,0.5,0,24,0
1,85,0,55,100.0,0.5,0,24,0
1,95,0,75,100.0,0.5,0,24,0
1,25,0,95,100.0,0.5,0,24,0
1,55,0,85,100.0,0.5,0,24,0
1,55,0,5,100.0,0.5,0,24,0
1,25,0,75,100.0,0.5,0,24,0
1,25,0,25,100.0,0.5,0,24,0
1,65,0,35,100.0,0.5,0,24,0
1,5,0,85,100.0,0.5,0,24,0
1,15,0,5,100.0,0.5,0,24,0
1,15,0,85,100.0,0.5,0,24,0
1,75,0,35,100.0,0.5,0,24,0
1,15,0,55,100.0,0.5,0,24,0
1,55,0,25,100.0,0.5,0,24,0
1,75,0,55,100.0,0.5,0,24,0
1,35,0,25,100.0,0.5,0,24,0
1,45,0,65,100.0,0.5,0,24,0
1,25,0,65,100.0,0.5,0,24,0
1,25,0,45,100.0,0.5,0,24,0
1,5,0,65,100.0,0.5,0,24,0
1,5,0,55,100.0,0.5,0,24,0
1,85,0,5,100.0,0.5,0,24,0
1,15,0,15,100.0,0.5,0,24,0
1,5,0,45,100.0,0.5,0,24,0
1,95,0,85,100.0,0.5,0,24,0
1,75,0,45,100.0,0.5,0,24,0
1,65,0,85,100.0,0.5,0,24,0
1,95,0,25,100.0,0.5,0,24,0
1,15,0,75,100.0,0.5,0,24,0
1,15,0,95,100.0,0.5,0,24,0
1,65,0,75,100.0,0.5,0,24,0
1,45,0,75,100.0,0.5,0,24,0
1,55,0,95,100.0,0.5,0,24,0
1,5,0,5,100.0,0.5,0,24,0
1,45,0,55,100.0,0.5,0,24,0
1,95,0,95,100.0,0.5,0,24,0
1,55,0,45,100.0,0.5,0,24,0
1,65,0,45,100.0,0.5,0,24,0
1,85,0,85,100.0,0.5,0,24,0
1,95,0,65,100.0,0.5,0,24,0
1,55,0,75,100.0,0.5,0,24,0
1,75,0,65,100.0,0.5,0,24,0
1,85,0,75,100.0,0.5,0,24,0
1,65,0,25,100.0,0.5,0,24,0
1,85,0,95,100.0,0.5,0,24,0
1,95,0,55,100.0,0.5,0,24,0
1,25,0,5,100.0,0.5,0,24,0
1,35,0,65,100.0,0.5,0,24,0
1,45,0,15,100.0,0.5,0,24,0
1,55,0,55,100.0,0.5,0,24,0
1,85,0,35,100.0,0.5,0,24,0
1,75,0,85,100.0,0.5,0,24,0
1,5,0,15,100.0,0.5,0,24,0
1,45,0,35,100.0,0.5,0,24,0
1,65,0,5,100.0,0.5,0,24,0
1,35,0,85,100.0,0.5,0,24,0
1,85,0,65,100.0,0.5,0,25,0
1,25,0,5,100.0,0.5,0,25,0
1,95,0,75,100.0,0.5,0,25,0
1,55,0,55,100.0,0.5,0,25,0
1,25,0,55,100.0,0.5,0,25,0
1,95,0,15,100.0,0.5,0,25,0
1,75,0,85,100.0,0.5,0,25,0
1,15,0,85,100.0,0.5,0,25,0
1,45,0,35,100.0,0.5,0,25,0
1,85,0,25,100.0,0.5,0,25,0
1,25,0,85,100.0,0.5,0,25,0
1,65,0,5,100.0,0.5,0,25,0
1,85,0,15,100.0,0.5,0,25,0
1,45,0,65,100.0,0.5,0,25,0
1,35,0,85,100.0,0.5,0,25,0
1,25,0,15,100.0,0.5,0,25,0
1,35,0,5,100.0,0.5,0,25,0
1,95,0,95,100.0,0.5,0,25,0
1,75,0,45,100.0,0.5,0,25,0
1,55,0,35,100.0,0.5,0,25,0
1,55,0,75,100.0,0.5,0,25,0
1,45,0,25,100.0,0.5,0,25,0
1,5,0,95,100.0,0.5,0,25,0
1,65,0,25,100.0,0.5,0,25,0
1,45,0,85,100.0,0.5,0,25,0
1,5,0,5,100.0,0.5,0,25,0
1,5,0,25,100.0,0.5,0,25,0
1,75,0,5,100.0,0.5,0,25,0
1,35,0,65,100.0,0.5,0,25,0
1,15,0,45,100.0,0.5,0,25,0
1,75,0,25,100.0,0.5,0,25,0
1,45,0,15,100.0,0.5,0,25,0
1,35,0,35,100.0,0.5,0,25,0
1,45,0,45,100.0,0.5,0,25,0
